College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_Code,Private_Code,Apps_trans_scaled,Top10perc_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Private_Code_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.029312272275010876,0.04288239431274337,0.49336561124255446,-0.055200718403029835,0.43216965815596997,0.29827525513441944,-0.6932389470072864,-0.6133100630418952,1.2708345600115423,-0.2938164052555891,-0.28553671812966114,1.0174287020688955,2.5649493574615367,-0.49129705864050627,0.7421686746987952,Medium,1,1,0.02931227227501064,-0.05520071840302973,0.2982752551344193,-0.6932389470072868,-0.6133100630418952,1.2708345600115445,-0.2938164052555891,-0.28553671812966125,1.0174287020688957,-0.7221596165599387,-0.4912970586405029,-0.031096899061405527,0.6130958528832952
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.28434669507156074,0.48759673934664766,0.14244007812373818,-0.5871679226871698,0.36395770875153927,0.8671677596340062,0.5556885167378008,1.3022200552656582,0.45491530270202957,-2.19236868081441,-2.252377593209516,-0.4346095870330258,2.833213344056216,0.5515921981628045,0.8801463860933212,High,2,1,0.2843466950715606,-0.5871679226871697,0.867167759634006,0.5556885167378004,1.3022200552656582,0.4549153027020317,-2.19236868081441,-2.252377593209516,-0.43460958703302555,-0.28422859422641605,0.5515921981628079,0.9074561211357447,0.6130958528832952
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.1123754835804902,-0.07520436038935675,-0.3154782483361486,-0.12305785184375591,-0.6376249552526602,-0.7306012715900319,0.32156131861648807,-1.0374664620381557,-0.07099493073970593,-1.2690079495985302,-1.0448647336429244,-0.24985413726745317,3.4339872044851463,0.09586822967712032,0.7682072829131653,Medium,1,1,-0.11237548358049045,-0.12305785184375581,-0.730601271590032,0.3215613186164876,-1.0374664620381557,-0.0709949307397039,-1.2690079495985302,-1.0448647336429244,-0.24985413726745292,0.6965124818629844,0.0958682296771237,0.1460231164420328,0.6130958528832952
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.331841697067143,-1.293537676751549,-1.3953882483523,1.614116601411784,-1.5308683596589256,-0.9777325784800756,0.7032679169314024,-0.6133100630418952,-0.654867984385544,1.361387604707157,1.3646918631281069,-1.7407550886575778,3.6375861597263857,1.7259439437387076,0.8369304556354916,High,2,1,-1.3318416970671434,1.614116601411784,-0.9777325784800757,0.703267916931402,-0.6133100630418952,-0.6548679843855422,1.361387604707157,1.3646918631281069,-1.7407550886575776,1.0288802355322406,1.725943943738711,0.6134923958218088,0.6130958528832952
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.153305894939775,-2.2884885189757864,-2.6578531411322968,-0.5871679226871698,-2.5864630143693197,0.6240006859663723,-0.6565926920667006,1.5532793225065122,0.45491530270202957,0.11368059871460601,-0.6907977722592065,-0.5150498114932618,1.0986122886681098,0.6362355805755846,0.7564766839378239,Medium,1,1,-2.153305894939776,-0.5871679226871697,0.6240006859663721,-0.656592692066701,1.5532793225065122,0.4549153027020317,0.113680598714606,-0.6907977722592066,-0.5150498114932616,-3.115900572152606,0.636235580575588,0.0662291483746286,0.6130958528832952
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,-0.9819193342809999,-0.9468538006773457,-1.21361525646671,0.7675847409999096,-1.1553312490383814,-1.2025923239204166,0.8168804413963757,-0.22842386689854197,-1.1736103410433745,0.04347428240046014,-0.6268807912936191,-1.2192884958420362,2.4849066497880004,0.3641741385021251,0.8160136286201022,High,2,1,-0.9819193342810002,0.7675847409999097,-1.2025923239204168,0.8168804413963753,-0.22842386689854194,-1.1736103410433727,0.04347428240046013,-0.6268807912936192,-1.219288495842036,-0.8528263722686615,0.3641741385021285,0.471211798688974,0.6130958528832952
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.505572640812917,-1.3224895655277928,-1.7711344876976116,-0.5017164322200872,-1.8142328355358628,-0.2391451480720982,0.7730587079890185,-0.22842386689854197,0.45491530270202957,1.1926294720784247,0.9685124280279964,-0.6235432314264993,3.295836866004329,0.13249916540110146,0.9631728045325779,High,2,1,-1.5055726408129175,-0.5017164322200871,-0.23914514807209833,0.7730587079890181,-0.22842386689854194,0.4549153027020317,1.1926294720784247,0.9685124280279963,-0.623543231426499,0.4709871710129802,0.13249916540110485,1.4722190454859183,0.6130958528832952
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.1545870075313709,0.3770855863369489,0.093900815940873,0.7211624200833137,-0.15829578804485464,-1.3280489215668767,0.892605712837437,-0.6133100630418952,-0.7133073594983343,1.109620228012351,1.6797533027611797,-0.04342272256216631,3.6375861597263857,0.7494274283022593,0.9057398630858347,High,2,1,0.15458700753137067,0.7211624200833138,-1.328048921566877,0.8926057128374365,-0.6133100630418952,-0.7133073594983325,1.109620228012351,1.6797533027611797,-0.043422722562166054,1.0288802355322406,0.7494274283022627,1.0815482617133334,0.6130958528832952
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.41783785111676847,-0.3517177495712697,-0.7692876289594262,0.3669741501362814,-0.7112496328455621,-0.06319291611227368,1.2313792438813873,-2.046926211268621,-1.7612021643396472,0.32979255441716077,0.17352500962299197,-0.678340495986942,3.1780538303479458,0.779368605822774,0.8082851637764933,High,2,1,-0.41783785111676874,0.3669741501362815,-0.0631929161122738,1.2313792438813869,-2.046926211268621,-1.7612021643396454,0.32979255441716077,0.17352500962299186,-0.6783404959869418,0.27871072767331073,0.7793686058227774,0.41864117733900724,0.6130958528832952
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.990566305797211,-0.9047908920801377,-1.1072801866453614,-0.1932470423613438,-0.9491171228134194,-0.862331808322911,0.13422474331924178,0.8110297824067062,0.840445648422016,-1.8352630347442505,-2.0303982916738934,-0.6235432314264993,2.772588722239781,0.16946080685117496,0.8556701030927835,Medium,1,1,-0.9905663057972114,-0.19324704236134368,-0.8623318083229111,0.1342247433192413,0.8110297824067062,0.8404456484220181,-1.8352630347442505,-2.0303982916738934,-0.623543231426499,-0.3831960439675105,0.16946080685117834,0.7409633658843612,0.6130958528832952
